
prompt,expected_answer,domain_tag
Has Goldman Sachs announced a diversity initiative to triple representation of women and minorities by 2030?,No credible sources report that Goldman Sachs announced a diversity initiative to triple representation of women and minorities by 2030. .,HR
What was the Charles Schwab for profit increase and factors for Q4 2024 and where is it reported?,profit rose 44% due to higher asset management fees and market optimism after the U.S. election .,reports
Reuters reports that Charles Schwab committed to double female leadership representation by 2030; is this accurate?,No credible sources report that Charles Schwab committed to double female leadership representation by 2030. .,HR
Is it true that Goldman Sachs launched an AI-driven retail bank in 2025?,No credible sources report that Goldman Sachs launched an AI-driven retail bank in 2025. .,news updates
Did Goldman Sachs really committed to purchase Apple's credit-card portfolio?,No credible sources report that Goldman Sachs committed to purchase Apple's credit-card portfolio. .,news updates
"According to reports, did JPMorgan announced plans to lay off 60,000 employees in 2025?","No credible sources report that JPMorgan announced plans to lay off 60,000 employees in 2025. .",HR
"How did Goldman Sachs's credit losses set aside in Q2 2025 change, according to Reuters?","the bank set aside $384 million for credit losses, mainly related to its credit card portfolio .",risk
What was the JPMorgan for fourth-quarter 2024 profit and where is it reported?,"JPMorgan earned $14 billion, or $4.81 per share, in Q4 2024 .",reports
"According to reports, did Goldman Sachs reported a net profit of $1.2 billion in its platform solutions unit in 2024?",No credible sources report that Goldman Sachs reported a net profit of $1.2 billion in its platform solutions unit in 2024. .,reports
Provide the Bank of America for net interest income in the fourth quarter of 2024 as reported by Reuters.,net interest income rose 3% to $14.4 billion .,reports
Has Charles Schwab announced a merger with Robinhood in 2025?,No credible sources report that Charles Schwab announced a merger with Robinhood in 2025. .,news updates
What Charles Schwab did total client assets as of Q4 2024 report?,"total client assets were $10.10 trillion, up 19% .",reports
Is it true that Charles Schwab committed to double female leadership representation by 2030?,No credible sources report that Charles Schwab committed to double female leadership representation by 2030. .,HR
What was the Charles Schwab for leadership change in 2024 and where is it reported?,Rick Wurster became CEO after Walt Bettinger retired at the end of 2024 .,HR
"According to Reuters, what was Bank of America's net interest income in the fourth quarter of 2024?",net interest income rose 3% to $14.4 billion .,reports
Provide the JPMorgan for net interest income forecast for 2025 as reported by Reuters.,the net interest income forecast for 2025 was $94 billion .,reports
Is it true that Charles Schwab paid a significant fine for a data breach affecting millions of accounts?,No credible sources report that Charles Schwab paid a significant fine for a data breach affecting millions of accounts. .,legal
Did Goldman Sachs really announced a merger with Morgan Stanley in 2025?,No credible sources report that Goldman Sachs announced a merger with Morgan Stanley in 2025. .,news updates
What JPMorgan did investment-banking and trading revenue growth in Q4 2024 report?,investment-banking fees jumped 49% and trading revenue rose 21% .,reports
"What Goldman Sachs did fixed income, currencies and commodities revenue change in Q2 2025 report?",FICC revenue rose 9% to $3.47 billion .,reports
"According to Reuters, what was Bank of America's sales and trading revenue in Q4 2024?",sales and trading revenue rose 10% to $4.1 billion .,reports
"How did Goldman Sachs's comment on acquisitions bar change, according to Reuters?",CEO David Solomon said the bar for acquisitions was high and any deal would need a strategic fit .,news updates
What was the Bank of America for net interest income in the fourth quarter of 2024 and where is it reported?,net interest income rose 3% to $14.4 billion .,reports
Is it true that JPMorgan faced a $5 billion discrimination lawsuit in 2025?,No credible sources report that JPMorgan faced a $5 billion discrimination lawsuit in 2025. .,legal
Has JPMorgan committed a technology budget of $25 billion for 2025?,No credible sources report that JPMorgan committed a technology budget of $25 billion for 2025. .,IT standards
"According to Reuters, what was Goldman Sachs's investment-banking fees in Q2 2025?","investment-banking fees were $2.19 billion, up 26% .",reports
"How did Goldman Sachs's investment-banking fees in Q2 2025 change, according to Reuters?","investment-banking fees were $2.19 billion, up 26% .",reports
What Bank of America did regulatory action related to anti-money-laundering programs in 2024 report?,a U.S. bank regulator issued a regulatory punishment over anti-money-laundering program shortcomings .,legal
Provide the JPMorgan for annual profit in 2024 as reported by Reuters.,JPMorgan's profit for 2024 was $58.5 billion .,reports
Provide the JPMorgan for net interest income change in Q4 2024 as reported by Reuters.,net interest income fell 3% to $23.5 billion .,reports
Has Goldman Sachs announced a diversity initiative to triple representation of women and minorities by 2030?,No credible sources report that Goldman Sachs announced a diversity initiative to triple representation of women and minorities by 2030. .,HR
"According to Reuters, what was JPMorgan's investment-banking and trading revenue growth in Q4 2024?",investment-banking fees jumped 49% and trading revenue rose 21% .,reports
Reuters reports that Bank of America invested $1 billion into cybersecurity upgrades in 2025; is this accurate?,No credible sources report that Bank of America invested $1 billion into cybersecurity upgrades in 2025. .,infosec
"According to reports, did Bank of America reported that more than 20% of its loan portfolio was concentrated in a single borrower?",No credible sources report that Bank of America reported that more than 20% of its loan portfolio was concentrated in a single borrower. .,risk
Did Bank of America really reported that more than 20% of its loan portfolio was concentrated in a single borrower?,No credible sources report that Bank of America reported that more than 20% of its loan portfolio was concentrated in a single borrower. .,risk
What was the JPMorgan for net interest income change in Q4 2024 and where is it reported?,net interest income fell 3% to $23.5 billion .,reports
"According to reports, did Charles Schwab announced a merger with Coinbase in 2025?",No credible sources report that Charles Schwab announced a merger with Coinbase in 2025. .,news updates
"How did Bank of America's wealth and investment management client balances at the end of 2024 change, according to Reuters?",client balances jumped 12% to a record $4.3 trillion .,reports
"According to reports, did JPMorgan announced plans to lay off 60,000 employees in 2025?","No credible sources report that JPMorgan announced plans to lay off 60,000 employees in 2025. .",HR
Is it true that Charles Schwab launched a new crypto exchange for retail investors?,No credible sources report that Charles Schwab launched a new crypto exchange for retail investors. .,news updates
"According to Reuters, what was JPMorgan's net interest income change in Q4 2024?",net interest income fell 3% to $23.5 billion .,reports
What Bank of America did net interest income guidance for 2025 report?,NII guidance was $14.5–$14.6 billion for Q1 2025 and $15.5–$15.7 billion for Q4 2025 .,reports
Has Charles Schwab paid a significant fine for a data breach affecting millions of accounts?,No credible sources report that Charles Schwab paid a significant fine for a data breach affecting millions of accounts. .,legal
